Counts of COVID-19-associated Hospitalizations by Age from the COVID-NET Network (data downloaded on 2/1/2022)Centers for Disease Control and Prevention
YEAR,WEEK_NUMBER,0-4 YR,5-17 YR,18-49 YR,50-64 YR,65+ YR
2020-21,2020-10,0,0,10,7,17
2020-21,2020-11,0,0,50,79,83
2020-21,2020-12,0,3,253,286,413
2020-21,2020-13,6,5,636,793,1060
2020-21,2020-14,11,11,656,1024,1404
2020-21,2020-15,9,7,638,907,1455
2020-21,2020-16,11,8,731,953,1531
2020-21,2020-17,10,14,766,821,1501
2020-21,2020-18,11,20,770,852,1392
2020-21,2020-19,9,21,738,773,1145
2020-21,2020-20,13,15,707,713,1043
2020-21,2020-21,17,21,728,670,963
2020-21,2020-22,14,25,636,526,789
2020-21,2020-23,16,18,520,427,596
2020-21,2020-24,14,14,464,345,470
2020-21,2020-25,15,10,465,367,434
2020-21,2020-26,14,22,577,414,443
2020-21,2020-27,10,20,730,523,655
2020-21,2020-28,20,29,882,708,857
2020-21,2020-29,15,30,918,751,921
2020-21,2020-30,23,22,785,723,913
2020-21,2020-31,16,20,729,644,833
2020-21,2020-32,13,21,685,559,761
2020-21,2020-33,12,23,601,526,674
2020-21,2020-34,12,24,518,487,651
2020-21,2020-35,11,30,490,355,539
2020-21,2020-36,19,20,397,345,517
2020-21,2020-37,7,18,390,344,490
2020-21,2020-38,9,23,379,315,506
2020-21,2020-39,15,13,402,376,570
2020-21,2020-40,9,19,424,383,583
2020-21,2020-41,9,21,474,483,782
2020-21,2020-42,13,26,576,511,894
2020-21,2020-43,11,25,587,718,1071
2020-21,2020-44,14,31,719,815,1376
2020-21,2020-45,24,52,959,1066,1795
2020-21,2020-46,23,58,1146,1353,2476
2020-21,2020-47,28,37,1225,1495,2970
2020-21,2020-48,26,48,1269,1528,3100
2020-21,2020-49,41,52,1330,1580,3244
2020-21,2020-50,44,43,1408,1628,3297
2020-21,2020-51,33,44,1263,1593,3243
2020-21,2020-52,36,56,1204,1586,3320
2020-21,2020-53,30,52,1293,1617,3360
2020-21,2021-1,38,70,1388,1781,3486
2020-21,2021-2,38,58,1292,1589,3015
2020-21,2021-3,29,53,1117,1373,2620
2020-21,2021-4,26,61,950,1148,2147
2020-21,2021-5,23,46,832,968,1863
2020-21,2021-6,20,42,727,760,1305
2020-21,2021-7,20,45,630,684,1173
2020-21,2021-8,11,34,616,666,989
2020-21,2021-9,14,25,578,603,795
2020-21,2021-10,22,19,591,648,811
2020-21,2021-11,22,38,674,758,792
2020-21,2021-12,20,39,762,885,935
2020-21,2021-13,26,36,970,922,881
2020-21,2021-14,28,36,1174,1100,974
2020-21,2021-15,14,44,1138,1134,1009
2020-21,2021-16,31,48,1060,950,922
2020-21,2021-17,21,49,964,835,779
2020-21,2021-18,14,53,841,747,705
2020-21,2021-19,28,36,722,562,520
2020-21,2021-20,20,26,601,431,504
2020-21,2021-21,16,30,488,333,347
2020-21,2021-22,14,31,343,277,267
2020-21,2021-23,11,14,327,201,211
2020-21,2021-24,5,15,262,159,184
2020-21,2021-25,4,19,233,154,170
2020-21,2021-26,8,14,227,153,143
2020-21,2021-27,14,15,336,199,201
2020-21,2021-28,9,24,406,251,296
2020-21,2021-29,22,18,578,400,380
2020-21,2021-30,18,26,816,604,627
2020-21,2021-31,32,49,1123,764,825
2020-21,2021-32,32,51,1261,976,1061
2020-21,2021-33,43,62,1351,1072,1251
2020-21,2021-34,45,69,1388,1133,1392
2020-21,2021-35,50,71,1413,1129,1400
2020-21,2021-36,56,72,1202,1108,1328
2020-21,2021-37,45,63,1027,938,1268
2020-21,2021-38,38,64,960,898,1212
2020-21,2021-39,41,56,892,821,1214

"The Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET) hospitalization data are preliminary and subject to change as more data become available. In particular, case counts for recent hospital admissions are subject to lag. Lag for COVID-NET case identification and reporting might increase around holidays or during periods of increased hospital utilization. As data are received each week, prior case counts are updated accordingly."
"COVID-NET conducts population-based surveillance for laboratory-confirmed COVID-19-associated hospitalizations in children (less than 18 years of age) and adults. COVID-NET covers nearly 100 counties in the 10 Emerging Infections Program (EIP) states (CA, CO, CT, GA, MD, MN, NM, NY, OR, TN) and four Influenza Hospitalization Surveillance Project (IHSP) states (IA, MI, OH, and UT)."
