Percent of COVID-19-associated Hospitalizations by Age from the COVID-NET Network (data downloaded on 2/1/2022)Centers for Disease Control and Prevention
YEAR,WEEK_NUMBER,0-4 YR,5-17 YR,18-49 YR,50-64 YR,65+ YR
2020-21,2020-10,0.0,0.0,29.4,20.6,50.0
2020-21,2020-11,0.0,0.0,23.6,37.3,39.2
2020-21,2020-12,0.0,0.3,26.5,29.9,43.2
2020-21,2020-13,0.2,0.2,25.4,31.7,42.4
2020-21,2020-14,0.4,0.4,21.1,33.0,45.2
2020-21,2020-15,0.3,0.2,21.2,30.1,48.2
2020-21,2020-16,0.3,0.2,22.6,29.5,47.3
2020-21,2020-17,0.3,0.4,24.6,26.4,48.2
2020-21,2020-18,0.4,0.7,25.3,28.0,45.7
2020-21,2020-19,0.3,0.8,27.5,28.8,42.6
2020-21,2020-20,0.5,0.6,28.4,28.6,41.9
2020-21,2020-21,0.7,0.9,30.3,27.9,40.1
2020-21,2020-22,0.7,1.3,32.0,26.4,39.6
2020-21,2020-23,1.0,1.1,33.0,27.1,37.8
2020-21,2020-24,1.1,1.1,35.5,26.4,36.0
2020-21,2020-25,1.2,0.8,36.0,28.4,33.6
2020-21,2020-26,1.0,1.5,39.3,28.2,30.1
2020-21,2020-27,0.5,1.0,37.7,27.0,33.8
2020-21,2020-28,0.8,1.2,35.3,28.4,34.3
2020-21,2020-29,0.6,1.1,34.8,28.5,35.0
2020-21,2020-30,0.9,0.9,31.8,29.3,37.0
2020-21,2020-31,0.7,0.9,32.5,28.7,37.2
2020-21,2020-32,0.6,1.0,33.6,27.4,37.3
2020-21,2020-33,0.7,1.3,32.7,28.6,36.7
2020-21,2020-34,0.7,1.4,30.6,28.8,38.5
2020-21,2020-35,0.8,2.1,34.4,24.9,37.8
2020-21,2020-36,1.5,1.5,30.6,26.6,39.8
2020-21,2020-37,0.6,1.4,31.2,27.5,39.2
2020-21,2020-38,0.7,1.9,30.8,25.6,41.1
2020-21,2020-39,1.1,0.9,29.2,27.3,41.4
2020-21,2020-40,0.6,1.3,29.9,27.0,41.1
2020-21,2020-41,0.5,1.2,26.8,27.3,44.2
2020-21,2020-42,0.6,1.3,28.5,25.3,44.3
2020-21,2020-43,0.5,1.0,24.3,29.8,44.4
2020-21,2020-44,0.5,1.0,24.3,27.6,46.6
2020-21,2020-45,0.6,1.3,24.6,27.4,46.1
2020-21,2020-46,0.5,1.1,22.7,26.8,49.0
2020-21,2020-47,0.5,0.6,21.3,26.0,51.6
2020-21,2020-48,0.4,0.8,21.3,25.6,51.9
2020-21,2020-49,0.7,0.8,21.3,25.3,51.9
2020-21,2020-50,0.7,0.7,21.9,25.4,51.4
2020-21,2020-51,0.5,0.7,20.5,25.8,52.5
2020-21,2020-52,0.6,0.9,19.4,25.6,53.5
2020-21,2020-53,0.5,0.8,20.4,25.5,52.9
2020-21,2021-1,0.6,1.0,20.5,26.3,51.5
2020-21,2021-2,0.6,1.0,21.6,26.5,50.3
2020-21,2021-3,0.6,1.0,21.5,26.4,50.5
2020-21,2021-4,0.6,1.4,21.9,26.5,49.6
2020-21,2021-5,0.6,1.2,22.3,25.9,49.9
2020-21,2021-6,0.7,1.5,25.5,26.6,45.7
2020-21,2021-7,0.8,1.8,24.7,26.8,46.0
2020-21,2021-8,0.5,1.5,26.6,28.8,42.7
2020-21,2021-9,0.7,1.2,28.7,29.9,39.5
2020-21,2021-10,1.1,0.9,28.3,31.0,38.8
2020-21,2021-11,1.0,1.7,29.5,33.2,34.7
2020-21,2021-12,0.8,1.5,28.9,33.5,35.4
2020-21,2021-13,0.9,1.3,34.2,32.5,31.1
2020-21,2021-14,0.8,1.1,35.4,33.2,29.4
2020-21,2021-15,0.4,1.3,34.1,34.0,30.2
2020-21,2021-16,1.0,1.6,35.2,31.6,30.6
2020-21,2021-17,0.8,1.9,36.4,31.5,29.4
2020-21,2021-18,0.6,2.2,35.6,31.7,29.9
2020-21,2021-19,1.5,1.9,38.7,30.1,27.8
2020-21,2021-20,1.3,1.6,38.0,27.2,31.9
2020-21,2021-21,1.3,2.5,40.2,27.4,28.6
2020-21,2021-22,1.5,3.3,36.8,29.7,28.6
2020-21,2021-23,1.4,1.8,42.8,26.3,27.6
2020-21,2021-24,0.8,2.4,41.9,25.4,29.4
2020-21,2021-25,0.7,3.3,40.2,26.6,29.3
2020-21,2021-26,1.5,2.6,41.7,28.1,26.2
2020-21,2021-27,1.8,2.0,43.9,26.0,26.3
2020-21,2021-28,0.9,2.4,41.2,25.5,30.0
2020-21,2021-29,1.6,1.3,41.3,28.6,27.2
2020-21,2021-30,0.9,1.2,39.0,28.9,30.0
2020-21,2021-31,1.1,1.8,40.2,27.4,29.5
2020-21,2021-32,0.9,1.5,37.3,28.9,31.4
2020-21,2021-33,1.1,1.6,35.8,28.4,33.1
2020-21,2021-34,1.1,1.7,34.5,28.1,34.6
2020-21,2021-35,1.2,1.7,34.8,27.8,34.5
2020-21,2021-36,1.5,1.9,31.9,29.4,35.3
